SWIFT-ACK, ENI
SWIFT-NAK, ENI
SEPA-CAMT.029.001.03, ENI
SEPA-CAMT.056.001.01, ENI
CBPR-CAMT.057.001.06, EFT
SWIFT-CORPPAY, EFT
SWIFT-012, ENI
SWIFT-019, ENI
SWIFT-101, EFT
SWIFT-103, EFT
SWIFT-103+, EFT
SWIFT-195, ENI
SWIFT-199, ENI
SWIFT-200, EFT
SWIFT-202, EFT
SWIFT-202COV, EFT
SWIFT-205, EFT
SWIFT-205COV, EFT
SWIFT-210, EFT
SWIFT-295, ENI
SWIFT-299, ENI
SWIFT-900, STMT
SWIFT-910, STMT
SWIFT-940, STMT
SWIFT-942, STMT
SWIFT-950, STMT
SWIFT-999, ENI
SEPA-PACS.002.001.03, ENI
TARGET2-PACS.002.001.10, ENI
CBPR-PACS.002.001.10, ENI
SEPA-PACS.003.001.02, DD
SEPA-PACS.004.001.02, ENI
TARGET2-PACS.004.001.09, ENI
CBPR-PACS.004.001.09, ENI
SEPA-PACS.007.001.02, ENI
SEPA-PACS.008.001.02, CT
TARGET2-PACS.008.001.08, EFT
CBPR-PACS.008.001.08, EFT
TARGET2-PACS.009.001.08, EFT
CBPR-PACS.009.001.08, EFT
SEPA-PACS.028.001.02, ENI
